player,name,avatar,rank,title,country,rating,games_played_recent,wins_recent,draws_recent,losses_recent,games_played_total,wins_total,draws_total,losses_total,avg_score,country_code,flag_url
klimkoj,Jan Klimkowski,https://images.chesscomfiles.com/uploads/v1/user/25881602.9aab3acb.200x200o.84bcc2d895bb.jpg,192,GM,Poland,2999,180,97,16,67,4833,2582,452,1799,0.5833333333333334,poland,https://flagcdn.com/h20/poland.png
kuli4ik,Mikhail Demidov,https://images.chesscomfiles.com/uploads/v1/user/39801338.fa3948bd.200x200o.67b922df1581.jpeg,219,GM,Russia,2980,476,230,67,179,6091,2778,918,2395,0.5535714285714286,russia,https://flagcdn.com/h20/russia.png
lachesisQ,Ian Nepomniachtchi,https://images.chesscomfiles.com/uploads/v1/user/28417564.288cde61.200x200o.d3c0bb1c1afd.jpg,5,GM,Russia,3232,324,162,35,127,7493,4312,1012,2169,0.5540123456790124,russia,https://flagcdn.com/h20/russia.png
legendisback1,Yagiz Kaan Erdogmus,https://images.chesscomfiles.com/uploads/v1/user/115845378.460a4686.200x200o.f0572fbf14c9.jpeg,50,GM,Türkiye,3112,126,69,16,41,6092,3145,547,2400,0.6111111111111112,türkiye,https://flagcdn.com/h20/türkiye.png
liczner,Łukasz Licznerski,https://images.chesscomfiles.com/uploads/v1/user/19289962.5dd9216e.200x200o.63d384b71e6e.jpeg,164,IM,Poland,3005,101,54,10,37,8303,4180,677,3446,0.5841584158415841,poland,https://flagcdn.com/h20/poland.png
michaelq2d5,Michael Brown,https://images.chesscomfiles.com/uploads/v1/user/16420848.ef34085c.200x200o.67a18a56111c.jpeg,127,GM,United States,3027,33,14,6,13,13151,6793,1634,4724,0.5151515151515151,united states,https://flagcdn.com/h20/united states.png
mind1mover,Vuk Damjanovic,https://images.chesscomfiles.com/uploads/v1/user/319215903.bf8532bc.200x200o.9c72c7018c18.png,148,IM,Serbia,3013,724,357,74,293,10259,5596,918,3745,0.5441988950276243,serbia,https://flagcdn.com/h20/serbia.png
mishanick,Aleksei Sarana,https://images.chesscomfiles.com/uploads/v1/user/17860442.d25fa08e.200x200o.81d6cc6b6581.png,31,GM,Serbia,3140,717,344,74,299,25080,14679,2530,7871,0.5313807531380753,serbia,https://flagcdn.com/h20/serbia.png
mitrabhaa,Mitrabha Guha,https://images.chesscomfiles.com/uploads/v1/user/47092728.33d4b6ed.200x200o.e21b735a39a2.jpeg,80,GM,India,3074,383,190,46,147,6718,3909,625,2184,0.556135770234987,india,https://flagcdn.com/h20/india.png
monomita,Mayank Chakraborty,https://images.chesscomfiles.com/uploads/v1/user/27421320.cf17acdf.200x200o.9a1a4ab66650.jpg,204,IM,India,2993,263,120,46,97,2325,1105,281,939,0.5437262357414449,india,https://flagcdn.com/h20/india.png
moro182,Luca Moroni Jr,https://images.chesscomfiles.com/uploads/v1/user/12610836.d502f3a0.200x200o.8533593834ec.jpeg,89,GM,Italy,3056,492,237,40,215,8489,4705,843,2941,0.5223577235772358,italy,https://flagcdn.com/h20/italy.png
nihalsarin,Nihal Sarin,https://images.chesscomfiles.com/uploads/v1/user/7195919.159050ca.200x200o.883e75faf64e.jpg,30,GM,India,3140,377,188,31,158,27890,16267,2952,8671,0.5397877984084881,india,https://flagcdn.com/h20/india.png
onyshchuk_v,Volodymyr Onyshchuk,,242,GM,Ukraine,2966,11,5,0,6,1055,680,116,259,0.4545454545454545,ukraine,https://flagcdn.com/h20/ukraine.png
penguingm1,Andrew Tang,https://images.chesscomfiles.com/uploads/v1/user/8344034.afe06124.200x200o.bcc27fc3d0b3.gif,213,GM,United States,2988,456,215,31,210,9257,5696,639,2922,0.5054824561403509,united states,https://flagcdn.com/h20/united states.png
platy3,Alan Pichot,https://images.chesscomfiles.com/uploads/v1/user/22639240.1da8984e.200x200o.b0b696b8f6da.jpg,247,GM,Spain,2962,45,20,6,19,4245,2376,532,1337,0.5111111111111111,spain,https://flagcdn.com/h20/spain.png
qsjtgx,Shixu B Wang,https://images.chesscomfiles.com/uploads/v1/user/71611570.4b4a4ae5.200x200o.8ade02229bce.jpg,246,IM,China,2962,146,60,15,71,8125,3812,720,3593,0.4623287671232877,china,https://flagcdn.com/h20/china.png
rasmussvane,Rasmus Svane,https://images.chesscomfiles.com/uploads/v1/user/31622756.a6a3292e.200x200o.51f98e63d668.jpeg,244,GM,Germany,2965,270,128,31,111,8718,5471,1088,2159,0.5314814814814814,germany,https://flagcdn.com/h20/germany.png
rednova1729,Awonder Liang,https://images.chesscomfiles.com/uploads/v1/user/33586923.4c8407a2.200x200o.bd0b8d9dd64a.jpeg,135,GM,United States,3020,35,15,6,14,3097,1670,407,1020,0.5142857142857142,united states,https://flagcdn.com/h20/united states.png
rezamahdavi2008,Reza Mahdavi,https://images.chesscomfiles.com/uploads/v1/user/47732440.153a411f.200x200o.500623b2350a.jpg,206,IM,Iran,2992,233,113,25,95,4387,2471,355,1561,0.5386266094420601,iran,https://flagcdn.com/h20/iran.png
ricky8632200,Kong Xiangrui,https://images.chesscomfiles.com/uploads/v1/user/89433096.7d88f7d4.200x200o.4d6124cea377.jpg,125,,China,3027,13,2,3,8,482,320,33,129,0.2692307692307692,china,https://flagcdn.com/h20/china.png
rpragchess,Praggnanandhaa Rameshbabu,https://images.chesscomfiles.com/uploads/v1/user/28692936.b7d437d6.200x200o.293777c7e9fd.jpeg,11,GM,India,3190,26,14,1,11,2500,1327,243,930,0.5576923076923077,india,https://flagcdn.com/h20/india.png
scarabee43,Marco Materia,,159,IM,France,3007,60,32,5,23,1496,922,170,404,0.575,france,https://flagcdn.com/h20/france.png
sergiochess83,Sergey Grigoriants,https://images.chesscomfiles.com/uploads/v1/user/28463094.26b605cf.200x200o.edcbf77f5656.jpg,187,GM,Hungary,3000,14,7,0,7,8771,3650,1665,3456,0.5,hungary,https://flagcdn.com/h20/hungary.png
sergoy,Sergey Drygalov,https://images.chesscomfiles.com/uploads/v1/user/35982786.ba1b2cfc.200x200o.ffaa0f6252f2.jpg,64,GM,South Korea,3090,442,219,33,190,8572,4768,827,2977,0.5328054298642534,south korea,https://flagcdn.com/h20/south korea.png
shimastream,Aleksandr Shimanov,https://images.chesscomfiles.com/uploads/v1/user/89741588.b9c79037.200x200o.cba6540c8997.jpg,142,GM,Russia,3015,539,251,53,235,7619,4230,852,2537,0.5148423005565863,russia,https://flagcdn.com/h20/russia.png
snowlord,Ivan Yeletsky,https://images.chesscomfiles.com/uploads/v1/user/28088038.24dde6b0.200x200o.a44cc175beb4.jpeg,122,FM,International,3031,101,46,16,39,13286,6501,1569,5216,0.5346534653465347,international,https://flagcdn.com/h20/international.png
spectralsoul,Esteban Valderrama,https://images.chesscomfiles.com/uploads/v1/user/13355618.fa0fcee6.200x200o.8a7a45d77fdc.jpeg,165,IM,Colombia,3005,189,90,14,85,2679,1482,224,973,0.5132275132275133,colombia,https://flagcdn.com/h20/colombia.png
spicycaterpillar,Ray Robson,https://images.chesscomfiles.com/uploads/v1/user/52129472.c1bdd2d7.200x200o.30201b8ea497.jpeg,9,GM,United States,3200,340,156,37,147,5905,3580,615,1710,0.513235294117647,united states,https://flagcdn.com/h20/united states.png
temus_galaktionov,Artem Galaktionov,https://images.chesscomfiles.com/uploads/v1/user/40143446.3c971fff.200x200o.50293427036b.jpeg,173,FM,United Arab Emirates,3003,156,66,23,67,5258,2358,598,2302,0.4967948717948718,united arab emirates,https://flagcdn.com/h20/united arab emirates.png
tigrangharamian,Tigran Gharamian,https://images.chesscomfiles.com/uploads/v1/user/20597950.693261ec.200x200o.c3fc29ce3b09.jpeg,154,GM,France,3010,517,246,71,200,1154,634,149,371,0.5444874274661509,france,https://flagcdn.com/h20/france.png
tptagain,David Anton Guijarro,https://images.chesscomfiles.com/uploads/v1/user/81535436.3987e279.200x200o.2f4f48245e6f.png,207,GM,Spain,2991,876,413,100,363,8526,5005,970,2551,0.5285388127853882,spain,https://flagcdn.com/h20/spain.png
vi_pranav,Pranav V,https://images.chesscomfiles.com/uploads/v1/user/93593240.10fc5f09.200x200o.d1f519160672.jpg,24,GM,India,3146,85,38,8,39,9464,5377,732,3355,0.4941176470588235,india,https://flagcdn.com/h20/india.png
viditchess,Vidit Gujrathi,https://images.chesscomfiles.com/uploads/v1/user/8274000.18a13248.200x200o.7611a9919a1d.jpeg,65,GM,India,3088,60,29,6,25,2178,1278,323,577,0.5333333333333333,india,https://flagcdn.com/h20/india.png
vinniethepooh,Aditya Mittal,https://images.chesscomfiles.com/uploads/v1/user/10128530.35c6574b.200x200o.68df0bde1db5.png,155,GM,India,3010,165,76,14,75,10645,4968,1298,4379,0.503030303030303,india,https://flagcdn.com/h20/india.png
vugarrasulov,Vugar Rasulov,https://images.chesscomfiles.com/uploads/v1/user/26126112.67f512c0.200x200o.739c2f795a21.jpeg,227,GM,Azerbaijan,2977,173,86,12,75,11817,7428,1294,3095,0.5317919075144508,azerbaijan,https://flagcdn.com/h20/azerbaijan.png
wonderfultime,Tuan Minh Le,https://images.chesscomfiles.com/uploads/v1/user/16938404.edc37b62.200x200o.404676e7dc47.webp,28,GM,Vietnam,3143,437,195,41,201,24531,15279,2415,6837,0.4931350114416476,vietnam,https://flagcdn.com/h20/vietnam.png
wudileige,Shanglei Lu,https://images.chesscomfiles.com/uploads/v1/user/46523432.38f0afd3.200x200o.b71389bd424b.jpeg,126,GM,China,3027,9,5,0,4,535,275,84,176,0.5555555555555556,china,https://flagcdn.com/h20/china.png
xamax2000,Max Warmerdam,,238,GM,Netherlands,2972,354,165,51,138,6908,3788,776,2344,0.538135593220339,netherlands,https://flagcdn.com/h20/netherlands.png
xiaotong2008,Xiao Tong,,68,GM,China,3084,388,185,42,161,3749,1812,451,1486,0.5309278350515464,china,https://flagcdn.com/h20/china.png
yavrukurt40,Dincer Tasdogen,,172,FM,Türkiye,3003,16,9,0,7,1056,512,104,440,0.5625,türkiye,https://flagcdn.com/h20/türkiye.png
yosephtaher,Yoseph Theolifus Taher,https://images.chesscomfiles.com/uploads/v1/user/6002986.1775e777.200x200o.d57654f1bb6a.jpeg,147,IM,Indonesia,3013,497,220,76,201,5271,3659,509,1103,0.5191146881287726,indonesia,https://flagcdn.com/h20/indonesia.png
zvonokchess1996,Nikita Petrov,https://images.chesscomfiles.com/uploads/v1/user/26345508.e730aed7.200x200o.3e09c520b385.jpeg,123,GM,Montenegro,3030,16,9,1,6,2043,1222,232,589,0.59375,montenegro,https://flagcdn.com/h20/montenegro.png
